initial_prompt,image_oe_score_mean,image_oe_score_min,image_oe_score_max,image_oe_score_stdev,text_oe_score_mean,initial_prompt_oe_score,final_prompt_oe_score,oe_prompt_score_diff(final - initial)
a_pepperoni_pizza,0.05731,0.067729,0.045529,0.009561,0.38928,0.046663,0.065093,0.01843
a_slime_mould,0.048785,0.051983,0.045035,0.002382,0.303784,0.045035,0.04739,0.002355
a_flower,0.044265,0.053664,0.03712,0.005773,0.252847,0.03712,0.041154,0.004034
the_garden_of_eden,0.057084,0.06635,0.048903,0.006072,0.414503,0.06635,0.064357,-0.001993
an_extraterrestrial_life,0.036575,0.038685,0.035327,0.001181,0.266846,0.03686,0.036762,-9.9e-05
a_monkey,0.045925,0.053629,0.03757,0.005038,0.441286,0.03757,0.042627,0.005057
a_caterpillar,0.049339,0.057112,0.036262,0.006104,0.42581,0.036262,0.050369,0.014107
a_microbe,0.05137,0.054701,0.049391,0.00172,0.404609,0.054701,0.051444,-0.003257
a_fungus,0.047303,0.062085,0.041635,0.006647,0.280429,0.062085,0.041635,-0.02045
