initial_prompt,image_oe_score_mean,image_oe_score_min,image_oe_score_max,image_oe_score_stdev,text_oe_score_mean,initial_prompt_oe_score,final_prompt_oe_score,oe_prompt_score_diff(final - initial)
a_pepperoni_pizza,0.05823,0.06342,0.046663,0.005719,0.291783,0.046663,0.06342,0.016757
a_slime_mould,0.057678,0.063597,0.051569,0.004666,0.288029,0.054462,0.052401,-0.002061
a_flower,0.045448,0.050285,0.03712,0.003989,0.249862,0.03712,0.049031,0.011911
the_garden_of_eden,0.048943,0.05081,0.045596,0.001805,0.283054,0.045596,0.046948,0.001352
an_extraterrestrial_life,0.057503,0.065873,0.037268,0.009545,0.297883,0.037268,0.06393,0.026663
a_monkey,0.051755,0.055859,0.03757,0.005991,0.302456,0.03757,0.053359,0.015789
a_caterpillar,0.05385,0.059224,0.036262,0.007339,0.253798,0.036262,0.059224,0.022961
a_microbe,0.044008,0.054701,0.040138,0.004668,0.273786,0.054701,0.042217,-0.012484
a_fungus,0.047877,0.055394,0.043009,0.0041,0.278728,0.051152,0.055394,0.004242
